win,time,score,enemies_algotithm,pacman_algorithm
True,5.432075500488281,10990,bfs,a-star
True,5.914535045623779,13070,bfs,a-star
True,4.554369211196899,7490,bfs,a-star
False,3.5963895320892334,4770,bfs,a-star
True,0.4490017890930176,6330,bfs,a-star
True,0.427539587020874,11130,bfs,a-star
True,0.4510006904602051,11510,bfs,a-star
False,0.030052900314331055,170,bfs,a-star
True,0.4362616539001465,12750,bfs,a-star
True,0.3689746856689453,11460,bfs,a-star
True,0.4520094394683838,10280,bfs,a-star
True,0.44007420539855957,10970,bfs,a-star
True,0.3584434986114502,8700,bfs,a-star
False,0.04297757148742676,100,bfs,a-star
True,0.4268064498901367,10310,bfs,a-star
False,0.031973838806152344,190,bfs,a-star
False,0.002991914749145508,10,bfs,a-star
True,0.37784600257873535,7880,bfs,a-star
True,0.3804817199707031,10190,bfs,a-star
False,0.006002902984619141,10,bfs,a-star
True,0.5028297901153564,10730,bfs,a-star
False,0.05600166320800781,140,bfs,a-star
True,0.35097360610961914,11110,bfs,a-star
True,0.4969758987426758,10640,bfs,a-star
True,0.4324483871459961,11820,bfs,a-star
True,0.4082455635070801,10320,bfs,a-star
True,0.3959999084472656,11210,bfs,a-star
True,0.32497739791870117,9890,bfs,a-star
True,0.4087793827056885,13000,bfs,a-star
True,0.3378264904022217,8580,bfs,a-star
False,0.039351701736450195,210,bfs,a-star
True,0.46081972122192383,9480,bfs,a-star
False,0.008011817932128906,40,bfs,a-star
True,0.4348423480987549,11030,bfs,a-star
True,0.36145687103271484,8370,bfs,a-star
True,0.35886645317077637,9520,bfs,a-star
True,0.34200191497802734,8630,bfs,a-star
True,0.2840266227722168,5560,bfs,a-star
False,0.013996601104736328,40,bfs,a-star
True,0.3270251750946045,10150,bfs,a-star
True,0.39705419540405273,9120,bfs,a-star
False,0.039026498794555664,100,bfs,a-star
True,0.29120564460754395,7100,bfs,a-star
True,0.3369729518890381,8130,bfs,a-star
True,0.3700993061065674,9070,bfs,a-star
False,0.05497384071350098,130,bfs,a-star
True,0.4590325355529785,7750,bfs,a-star
True,0.4159996509552002,6980,bfs,a-star
True,0.40864992141723633,11920,bfs,a-star
True,0.4109761714935303,10610,bfs,a-star
False,0.011999845504760742,40,bfs,a-star
True,0.37152957916259766,8660,bfs,a-star
True,0.385054349899292,13440,bfs,a-star
True,0.43924641609191895,10720,bfs,a-star
False,0.018000125885009766,160,bfs,a-star
False,0.034000396728515625,190,bfs,a-star
False,0.007002115249633789,30,bfs,a-star
True,0.38398003578186035,7300,bfs,a-star
True,0.3577268123626709,10660,bfs,a-star
True,0.3919949531555176,9950,bfs,a-star
True,0.4424881935119629,11000,bfs,a-star
True,0.3009967803955078,5780,bfs,a-star
False,0.0281832218170166,90,bfs,a-star
True,0.3985145092010498,10690,bfs,a-star
False,0.01999950408935547,90,bfs,a-star
True,0.3349781036376953,7440,bfs,a-star
True,0.3617541790008545,11520,bfs,a-star
True,0.5771195888519287,11900,bfs,a-star
True,0.3280308246612549,7390,bfs,a-star
True,0.5186610221862793,12610,bfs,a-star
False,0.02797842025756836,160,bfs,a-star
True,0.3394968509674072,6510,bfs,a-star
False,0.03900027275085449,190,bfs,a-star
True,0.38213396072387695,10390,bfs,a-star
True,0.3670377731323242,10620,bfs,a-star
True,0.3418619632720947,7870,bfs,a-star
False,0.027998924255371094,30,bfs,a-star
True,0.3620882034301758,11080,bfs,a-star
False,0.0020003318786621094,0,bfs,a-star
False,0.011007308959960938,50,bfs,a-star
True,0.3900625705718994,12570,bfs,a-star
True,0.40978240966796875,10440,bfs,a-star
True,0.394695520401001,8920,bfs,a-star
True,0.43951940536499023,7480,bfs,a-star
False,0.008000373840332031,50,bfs,a-star
False,0.028842926025390625,170,bfs,a-star
False,0.032288312911987305,150,bfs,a-star
False,0.03999829292297363,20,bfs,a-star
True,0.3490474224090576,10200,bfs,a-star
False,0.02202606201171875,50,bfs,a-star
True,0.35997486114501953,8730,bfs,a-star
True,0.2830667495727539,7790,bfs,a-star
True,0.42097926139831543,9870,bfs,a-star
True,0.46476149559020996,10680,bfs,a-star
True,0.5019686222076416,13620,bfs,a-star
False,0.04497694969177246,240,bfs,a-star
True,0.34999966621398926,6980,bfs,a-star
False,0.005000591278076172,30,bfs,a-star
True,0.33048391342163086,10280,bfs,a-star
True,0.38150906562805176,9020,bfs,a-star
True,0.38635683059692383,9440,bfs,a-star
True,0.42794275283813477,15050,bfs,a-star
False,0.050998687744140625,270,bfs,a-star
False,0.38122987747192383,4910,bfs,a-star
True,0.938103199005127,7400,a-star,a-star
True,0.6104207038879395,8630,a-star,a-star
True,0.9918310642242432,9020,a-star,a-star
False,0.14499688148498535,140,a-star,a-star
True,0.8848824501037598,6630,a-star,a-star
True,1.1637160778045654,6640,a-star,a-star
True,1.2585506439208984,6680,a-star,a-star
False,0.03399777412414551,70,a-star,a-star
True,0.9461195468902588,7200,a-star,a-star
True,0.8265271186828613,8750,a-star,a-star
True,1.01515793800354,8260,a-star,a-star
True,0.6983451843261719,8290,a-star,a-star
False,0.019976139068603516,100,a-star,a-star
False,0.09000182151794434,220,a-star,a-star
True,1.0753984451293945,7950,a-star,a-star
True,1.2155218124389648,5420,a-star,a-star
True,0.8781161308288574,8580,a-star,a-star
False,0.0069997310638427734,40,a-star,a-star
True,0.9026310443878174,6710,a-star,a-star
True,0.9506385326385498,8780,a-star,a-star
False,0.010998964309692383,20,a-star,a-star
False,0.009001493453979492,30,a-star,a-star
True,1.1528964042663574,8350,a-star,a-star
True,1.1271302700042725,5390,a-star,a-star
False,0.040001630783081055,70,a-star,a-star
True,0.876641035079956,5480,a-star,a-star
True,1.0898637771606445,7010,a-star,a-star
False,0.03896927833557129,110,a-star,a-star
True,1.228935718536377,7070,a-star,a-star
True,0.6466531753540039,6170,a-star,a-star
False,0.048917293548583984,90,a-star,a-star
True,0.9831581115722656,5420,a-star,a-star
True,1.3762431144714355,7480,a-star,a-star
True,1.1987481117248535,8660,a-star,a-star
True,1.1641261577606201,10560,a-star,a-star
False,0.034999847412109375,170,a-star,a-star
True,1.231590747833252,5930,a-star,a-star
False,0.052778005599975586,100,a-star,a-star
True,1.0182280540466309,6990,a-star,a-star
True,0.9630937576293945,8750,a-star,a-star
True,1.3968791961669922,9000,a-star,a-star
True,0.8705744743347168,7440,a-star,a-star
True,0.8690319061279297,7540,a-star,a-star
False,0.04302835464477539,110,a-star,a-star
True,0.8164167404174805,7060,a-star,a-star
True,1.0977635383605957,5460,a-star,a-star
True,1.9671592712402344,5100,a-star,a-star
False,0.0369722843170166,70,a-star,a-star
False,0.01500391960144043,10,a-star,a-star
True,1.1360647678375244,9860,a-star,a-star
False,0.02702474594116211,140,a-star,a-star
True,1.1560823917388916,10700,a-star,a-star
True,1.125516414642334,6680,a-star,a-star
False,0.04699850082397461,210,a-star,a-star
False,0.1999351978302002,80,a-star,a-star
True,0.4609851837158203,2750,random,a-star
True,0.32158756256103516,2150,random,a-star
True,0.27500104904174805,1920,random,a-star
True,0.3082246780395508,3050,random,a-star
True,0.28502631187438965,1540,random,a-star
False,0.06000018119812012,30,random,a-star
True,0.39304280281066895,1440,random,a-star
True,0.323000431060791,2660,random,a-star
True,0.2499990463256836,1850,random,a-star
True,0.3269972801208496,1920,random,a-star
False,0.004992485046386719,30,random,a-star
True,0.2374868392944336,1400,random,a-star
True,0.27097463607788086,1160,random,a-star
True,0.2909979820251465,2610,random,a-star
True,0.4040837287902832,1340,random,a-star
False,0.1560201644897461,120,random,a-star
True,0.25452184677124023,1400,random,a-star
False,0.07699966430664062,230,random,a-star
True,0.299710750579834,1990,random,a-star
True,0.29086899757385254,1420,random,a-star
True,0.272000789642334,3380,random,a-star
False,0.02699875831604004,130,random,a-star
True,0.321270227432251,4030,random,a-star
True,0.34058284759521484,2610,random,a-star
True,0.2859029769897461,1070,random,a-star
True,0.2879753112792969,1900,random,a-star
True,0.2849996089935303,2290,random,a-star
True,0.25300002098083496,1470,random,a-star
True,0.28662657737731934,2310,random,a-star
True,0.2970254421234131,1940,random,a-star
True,0.2580137252807617,2210,random,a-star
True,0.3294992446899414,2370,random,a-star
False,0.054970502853393555,120,random,a-star
True,0.25597310066223145,4280,random,a-star
True,0.2370002269744873,1790,random,a-star
True,0.23226261138916016,1360,random,a-star
True,0.2631211280822754,1810,random,a-star
True,0.2908778190612793,3050,random,a-star
True,4.275156021118164,2630,random,a-star
True,0.3338656425476074,3070,random,a-star
True,0.2849726676940918,1010,random,a-star
True,0.28747057914733887,1930,random,a-star
True,0.26273488998413086,1770,random,a-star
True,0.3119955062866211,2300,random,a-star
False,0.015996217727661133,90,random,a-star
True,0.2340083122253418,2140,random,a-star
True,0.2787356376647949,970,random,a-star
False,0.009001493453979492,70,random,a-star
True,0.35700488090515137,2250,random,a-star
True,0.3059980869293213,2610,random,a-star
True,0.264540433883667,1430,random,a-star
True,0.27529311180114746,2330,random,a-star
True,0.34801650047302246,1570,random,a-star
True,0.2609989643096924,2260,random,a-star
True,0.340024471282959,2220,random,a-star
True,0.2660224437713623,1910,random,a-star
False,0.036000728607177734,90,random,a-star
True,0.265852689743042,1840,random,a-star
True,0.3840603828430176,1470,random,a-star
True,0.392411470413208,2260,random,a-star
True,0.2740001678466797,1580,random,a-star
True,0.2200005054473877,990,random,a-star
False,0.07899951934814453,350,random,a-star
True,0.30130720138549805,1440,random,a-star
True,0.36201000213623047,1890,random,a-star
True,0.2810018062591553,1460,random,a-star
True,0.3129739761352539,1870,random,a-star
True,0.2979762554168701,1830,random,a-star
True,0.3033907413482666,1840,random,a-star
True,0.2362842559814453,1870,random,a-star
True,0.2953510284423828,2680,random,a-star
True,0.2447798252105713,2070,random,a-star
True,0.48599839210510254,2270,random,a-star
True,0.3095855712890625,2590,random,a-star
True,0.2918508052825928,2240,random,a-star
True,0.27628087997436523,2300,random,a-star
True,0.3230881690979004,1430,random,a-star
True,0.3536865711212158,1980,random,a-star
True,0.2514760494232178,1910,random,a-star
True,0.3859744071960449,2260,random,a-star
True,0.35524868965148926,1920,random,a-star
False,0.031026363372802734,40,random,a-star
True,0.273756742477417,2280,random,a-star
True,0.25252580642700195,1410,random,a-star
True,0.2538938522338867,1400,random,a-star
False,0.005001544952392578,40,random,a-star
True,0.49243903160095215,1530,random,a-star
True,0.25997328758239746,3000,random,a-star
True,0.25099921226501465,2270,random,a-star
True,0.3256571292877197,1770,random,a-star
True,0.2739741802215576,2300,random,a-star
False,0.029002904891967773,230,random,a-star
True,0.2550373077392578,2780,random,a-star
True,0.31072473526000977,2240,random,a-star
False,0.019973278045654297,100,random,a-star
True,0.2479996681213379,1930,random,a-star
True,0.30789804458618164,2240,random,a-star
True,0.34265637397766113,1480,random,a-star
True,0.25667595863342285,1410,random,a-star
True,0.2769746780395508,1950,random,a-star
True,0.20852255821228027,1930,random,a-star
True,0.2884860038757324,2620,random,a-star
True,0.2751271724700928,3400,random,a-star
True,0.3309910297393799,2240,random,a-star
True,0.32897090911865234,3150,random,a-star
True,0.25066471099853516,1480,random,a-star
True,0.2780582904815674,1340,random,a-star
True,0.23643732070922852,2210,random,a-star
